time,id,temp,hum,PM1,PM2.5,PM10
2021-03-19 20:05:22 CET,324,3.9,72.7,3.37,3.71,3.71
2021-03-19 20:10:16 CET,325,4.0,72.7,7.9,11.57,14.88
2021-03-19 20:15:16 CET,326,4.2,73.0,5.89,17.29,29.71
2021-03-19 20:20:16 CET,327,3.7,74.2,7.38,23.66,41.53
2021-03-19 20:25:16 CET,328,3.8,73.8,5.12,11.92,19.15
2021-03-19 20:30:16 CET,329,3.8,73.9,4.71,5.19,5.19
2021-03-19 20:35:22 CET,330,3.3,76.9,4.19,9.45,15.01
2021-03-19 20:40:19 CET,331,3.5,77.0,43.44,77.42,111.41
2021-03-19 20:45:16 CET,332,3.6,76.9,5.78,8.68,11.34
2021-03-19 20:50:16 CET,333,3.6,75.8,7.32,11.49,15.43
2021-03-19 20:55:16 CET,334,3.5,76.1,5.39,5.93,5.93
2021-03-19 21:00:16 CET,335,3.5,75.6,8.67,16.95,25.46
2021-03-19 21:05:16 CET,336,3.5,74.6,1.69,3.89,6.22
2021-03-19 21:10:16 CET,337,3.4,75.6,6.34,8.66,10.57
2021-03-19 21:15:16 CET,338,3.1,75.2,5.69,8.05,10.1
2021-03-19 21:20:19 CET,339,3.1,76.3,5.27,9.09,12.85
2021-03-19 21:25:18 CET,340,3.3,76.3,6.66,14.74,23.26
2021-03-19 21:30:17 CET,341,3.3,76.3,10.77,11.87,11.87
2021-03-19 21:35:16 CET,342,2.9,78.5,14.16,39.29,66.55
2021-03-19 21:40:16 CET,343,2.9,79.5,10.1,11.13,11.13
2021-03-19 21:45:16 CET,344,2.9,79.9,4.71,5.19,5.19
2021-03-19 21:50:16 CET,345,2.9,80.1,4.91,10.46,16.27
2021-03-19 21:55:16 CET,346,2.8,79.7,10.1,11.13,11.13
2021-03-19 22:00:16 CET,347,3.0,78.6,10.25,20.01,30.04
2021-03-19 22:05:16 CET,348,2.9,78.7,13.78,20.95,27.58
2021-03-19 22:10:19 CET,349,3.1,77.1,5.27,12.95,21.18
2021-03-19 22:15:17 CET,350,3.1,77.1,5.35,9.59,13.85
2021-03-19 22:20:16 CET,351,3.1,76.6,10.1,26.81,44.86
2021-03-19 22:25:16 CET,352,2.8,77.9,7.41,8.16,8.16
2021-03-19 22:30:18 CET,353,2.7,77.8,11.13,18.26,25.16
2021-03-19 22:35:16 CET,354,2.8,77.9,6.21,11.62,17.12
2021-03-19 22:40:21 CET,355,2.8,77.3,6.73,7.42,7.42
2021-03-19 22:45:16 CET,356,2.8,77.3,12.91,22.78,32.62
2021-03-19 22:50:16 CET,357,2.5,78.1,6.01,10.27,14.46
2021-03-19 22:55:16 CET,358,2.5,78.9,8.13,17.14,26.54
2021-03-19 23:00:16 CET,359,2.7,78.8,6.95,8.95,10.44
2021-03-19 23:05:16 CET,360,3.1,78.4,8.08,8.9,8.9
2021-03-19 23:10:16 CET,361,3.1,77.3,6.88,16.31,26.35
2021-03-19 23:15:16 CET,362,3.0,78.2,5.27,9.09,12.85
2021-03-19 23:20:16 CET,363,2.8,77.7,9.96,14.07,17.64
2021-03-19 23:25:16 CET,364,2.8,78.5,15.48,17.06,17.06
